Date,IBOV,Dolar,IBOV_USD
2013-08-27,50092.0,2.376199960708618,21080.717459932042
2013-08-28,49867.0,2.3684000968933105,21055.141850995442
2013-08-29,49922.0,2.3424999713897705,21311.41968398062
2013-08-30,50008.0,2.356100082397461,21224.9048220032
2013-09-02,51835.0,2.38070011138916,21773.006920117212
2013-09-03,51626.0,2.374799966812134,21739.09412223099
2013-09-04,51716.0,2.3559999465942383,21950.76450437067
2013-09-05,52352.0,2.357800006866455,22203.74919312026
2013-09-06,53749.0,2.3203999996185303,23163.6786798984
2013-09-09,54252.0,2.300600051879883,23581.673814042217
2013-09-10,53979.0,2.273900032043457,23738.51059384144
2013-09-11,53570.0,2.2822999954223633,23471.936251783725
2013-09-12,53307.0,2.2718000411987305,23464.653153132353
2013-09-13,53798.0,2.272599935531616,23672.44632848911
2013-09-16,53822.0,2.276700019836426,23640.35645059069
2013-09-17,54271.0,2.281399965286255,23788.463586300808
2013-09-18,55703.0,2.2502999305725098,24753.58917414548
2013-09-19,55096.0,2.182800054550171,25240.974263835687
2013-09-20,54110.0,2.1972999572753906,24625.677446012127
2013-09-23,54602.0,2.2074999809265137,24734.768050635677
2013-09-24,54431.0,2.1958000659942627,24788.68674928905
2013-09-25,54261.0,2.194700002670288,24723.652405331355
2013-09-26,53783.0,2.223299980163574,24190.617766318264
2013-09-27,53739.0,2.239000082015991,24001.339004692447
2013-09-30,52338.0,2.2227001190185547,23547.0361260925
2013-10-01,53179.0,2.2170000076293945,23986.919177715077
2013-10-02,53100.0,2.212599992752075,23998.91538187758
2013-10-03,52490.0,2.1895999908447266,23972.415153212467
2013-10-04,52849.0,2.204900026321411,23968.887191757025
2013-10-07,52417.0,2.2074999809265137,23744.960567564747
2013-10-09,52548.0,2.2051000595092773,23830.211138670064
2013-10-10,52997.0,2.2026000022888184,24061.10957274516
2013-10-11,53150.0,2.1772000789642334,24412.088036155696
2013-10-14,54171.0,2.1710000038146973,24952.095764539525
2013-10-15,54981.0,2.1789000034332275,25233.374598819628
2013-10-16,55973.0,2.177299976348877,25707.527951137603
2013-10-17,55358.0,2.178100109100342,25415.72803229208
2013-10-18,55378.0,2.1584999561309814,25655.77999791239
2013-10-21,56077.0,2.1454999446868896,26137.031668944543
2013-10-22,56460.0,2.170599937438965,26011.24188118042
